osm_id,amenity,leisure,operator,access,wheelchair,osm_user,osm_modif,tags,metro_id
483416781,,playground,,,,,,"""description""=>""module pour enfants de 5 à 12 ans""",248
625570605,,playground,,,,,,,249
382648750,,playground,,,,,,"""addr:postcode""=>""34970""",250
374346595,,playground,,,,,,,251
377630289,,playground,,,,,,"""addr:postcode""=>""34170""",252
377626207,,playground,,,,,,"""addr:postcode""=>""34170""",253
382650465,,playground,,,,,,"""addr:postcode""=>""34970""",254
382650569,,playground,,,,,,"""addr:postcode""=>""34970""",255
25779747,,playground,,,,,,,256
92332208,,playground,,,,,,,257
433008298,,playground,,,,,,,258
142717811,,playground,,,,,,,259
142717810,,playground,,,,,,,260
382647494,,playground,,,,,,"""description""=>""Structure modulaire de 75 m²"", ""addr:postcode""=>""34470"", ""contact:phone""=>""+33467504500""",261
419674952,,playground,,,,,,,262
382647753,,playground,,,,,,"""description""=>""2 jeux à ressorts"", ""addr:postcode""=>""34470"", ""contact:phone""=>""+33467504500""",263
386352601,,playground,,,,,,"""addr:postcode""=>""34740""",264
382646172,,playground,,,,,,"""description""=>""3 jeux à ressorts"", ""addr:postcode""=>""34470"", ""contact:phone""=>""+33467504500""",265
496700090,,playground,,private,,,,,266
258562184,,playground,,,,,,,267
496700080,,playground,,private,,,,,268
382646932,,playground,,,,,,"""description""=>""en bordure d’étang – Accès rue St-Vincent ; ouvert toute l'année ; Un toboggan, des jeux à ressorts, un château (grande structure modulaire de 304 m²) et un bateau (structure modulaire de 65 m²)"", ""addr:postcode""=>""34470"", ""contact:phone""=>""+33467504500""",269
382648051,,playground,,no,,,,"""addr:postcode""=>""34470"", ""contact:phone""=>""+33 467504500""",270
382646495,,playground,,,,,,"""description""=>""7 jeux (des cabanes et divers jeux ludiques ; ouvert toute l'année"", ""addr:postcode""=>""34470""",271
583257770,,playground,,,,,,,272
383792458,,playground,,,,,,"""opening_hours_1""=>""winter 08:00-18:30""",273
406563363,,playground,,,,,,,274
406565188,,playground,,,,,,,275
383252753,,playground,,,yes,,,,276
378101079,,playground,,,,,,"""addr:postcode""=>""34160""",277
399683245,,playground,,,,,,,278
378101813,,playground,,,,,,"""addr:postcode""=>""34160""",279
378100742,,playground,,,,,,"""addr:postcode""=>""34160""",280
378102582,,playground,,,,,,"""description""=>""Filet flèche Bascule sur ressorts Jeu sur ressorts étoile Jeu sur ressorts otarie Balançoire Ludens Komplan Installation 2011"", ""addr:postcode""=>""34160""",281
382641411,,playground,,,,,,"""addr:postcode""=>""34160"", ""contact:phone""=>""+33467874270""",282
399450087,,playground,,,,,,,283
426297162,,playground,,,,,,,284
382651810,,playground,,,,,,"""addr:postcode""=>""34160"", ""contact:phone""=>""+334 67 86 28 60""",285
538721420,,playground,,,,,,,286
382642006,,playground,,,,,,"""addr:postcode""=>""34160"", ""contact:phone""=>""+33467862122""",287
400964764,,playground,,,,,,,288
382642445,,playground,,,,,,"""phone""=>""+33467862122"", ""addr:postcode""=>""34160""",289
382643156,,playground,,,,,,"""addr:postcode""=>""34160"", ""contact:phone""=>""+33467866002""",290
382642862,,playground,,,,,,"""addr:postcode""=>""34160"", ""contact:phone""=>""+33467866002""",291
382642098,,playground,,,,,,"""addr:postcode""=>""34160"", ""contact:phone""=>""+33467862122""",292
222360329,,playground,,,,,,,293
583485678,,playground,,,,,,,294
